Title	URL	Assignees	Status	Estimated Size	Milestone	Labels	Real Size
CI/CD improvements	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/58	borges-filipe	Feature Archive	2		enhancement, Priority - High	2
POC: Combine graph pieces with llm 	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/30	get4flo	Feature Archive	8	Graph building and visualization	POC, Priority - Medium	8
Update software architecture diagram and documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/52	nikolas-rauscher	Feature Archive	1		documentation	1
Set up Mistral locally: documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/19	yashbhesaniya	Feature Archive	3		documentation	2
POC: Prompt template for LLM	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/26	nikolas-rauscher	Feature Archive	3	Interaction with LLM	POC, Priority - High	5
Syntax checking for JSON and converting to Graph format	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/24	borges-filipe	Feature Archive	5	Graph building and visualization	POC, Priority - High	5
POC: Graph visualization	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/18	Sandeep-kumar-Ramesh	Feature Archive	5	Graph building and visualization	POC, Priority - Medium	5
Allow user to upload PDF document(s)	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/20	iremozs, Sandeep-kumar-Ramesh	Feature Archive	5	Data source processing	enhancement, Priority - High	5
Interface setup	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/44	Sandeep-kumar-Ramesh	Feature Archive	3		enhancement, Priority - High	3
Text to .json chunks	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/17	get4flo	Feature Archive	5	Data source processing	enhancement, Priority - High	3
PDF parsing into text	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/4	borges-filipe	Feature Archive	3	Data source processing	enhancement, Priority - High	3
Set up initial project environment (backend excluding LLM container)	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/16	kristikotini, Sandeep-kumar-Ramesh, yashbhesaniya	Feature Archive	8		enhancement, Priority - High	8
[HW] Create software architecture overview	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/7	kristikotini, nikolas-rauscher, yashbhesaniya	Feature Archive	5		homework	5
Design user interface	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/14	Sandeep-kumar-Ramesh	Feature Archive	8	User Interface	enhancement, Priority - High	8
Update upload page to design theme	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/98		Feature Archive		User Interface	invalid	
After LLM results, eliminate duplicates	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/102	nikolas-rauscher	In Progress	5	Interaction with LLM	enhancement, Priority - Medium	
Update user interface pages to design theme	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/99	Sandeep-kumar-Ramesh	Awaiting Review	3	User Interface	enhancement, Priority - Low	
Improve visualization based on node sizes	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/136	Sandeep-kumar-Ramesh	Awaiting Review	3	User Interface	enhancement, Priority - Medium	
Allow user to delete knowledge graph	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/109	get4flo	Awaiting Review	2	User Interface	enhancement, Priority - Medium	
POC: Query knowledge graph (to help with evaluating it)	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/137	kristikotini	Awaiting Review	8	Graph querying	enhancement, Priority - Medium	
View knowledge graph from table list	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/145	get4flo	Awaiting Review	2	User Interface	enhancement, Priority - Medium	
Experiment with different evaluation approaches	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/139	borges-filipe, yashbhesaniya	Awaiting Review	5	Interaction with LLM	POC, Priority - Medium	
Graph display text/node color + less overlapping of nodes	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/101	nikolas-rauscher	Awaiting Review		Graph building and visualization	enhancement, Priority - Low	
Link entities to page	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/135	iremozs	In Progress	3	Graph building and visualization	enhancement, Priority - Medium	
Find way to improve performance time	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/107		Product Backlog		Interaction with LLM	enhancement, Priority - Medium	
Finetuning of prompt template and ontology - make it more abstract and more concise	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/39		Product Backlog	5	Interaction with LLM	enhancement, Priority - Medium	
Look deeper into centrality measures for making network more concise	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/108		Product Backlog		User Interface	enhancement, Priority - Medium	
Force-based algorithm for node positions	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/121		Product Backlog		Graph querying	enhancement, Priority - Medium	
Split view - to show more information on left side, graph on right	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/100		Product Backlog		User Interface	enhancement, Priority - Medium	
“Generate” button to link to generate graph for documents that only have been uploaded	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/146		Product Backlog		User Interface	enhancement, Priority - Low	
POC: extract categories from entities	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/119		Product Backlog		Graph building and visualization	enhancement, Priority - Low	
Refactoring: "delete uploaded document" button	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/143		Product Backlog		Data source processing	Priority - Low, refactoring	
Refactoring: clean up code base	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/152		Product Backlog			Priority - Low, refactoring	
Clustering of nodes / topic modeling: coloring	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/106		Product Backlog		User Interface	enhancement, Priority - Low	
Follow up on POC (grouping of nodes) depending on outcome	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/103		Feature Archive		Graph building and visualization	duplicate	
Progress bar for upload page	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/110		Product Backlog			enhancement	
Draggable nodes	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/49		Product Backlog		User Interface	enhancement, Priority - Low	
Another iteration of knowledge graph prompt fine-tuning	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/104		Product Backlog				
Graph search: return pages and text chunks	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/105		Product Backlog		User Interface	enhancement	
Refactoring: "delete uploaded document" button	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/142		Feature Archive		Data source processing	duplicate	
Demo day slide	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/123		Product Backlog			homework	
Demo day video	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/124		Product Backlog			homework	
Clean up codebase	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/122		Product Backlog			Priority - Low, refactoring	
Finalize user, (technical) design, and build/deploy documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/111		Product Backlog			documentation	
End-to-end testing of application and features	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/125		Product Backlog				
Finalize demo day workflow	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/112		Product Backlog				
Finalize project report	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/113		Product Backlog			homework	
Syntax checking for JSON and converting to Graph format	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/pull/63	borges-filipe	Feature Archive				
